10000,1,0,68,83,75,94,96,98,92
10001,1,1,80,92,94,98,95,75,76
10002,0,1,92,80,78,65,68,96,96
10003,1,1,88,96,78,62,63,99,93
10004,0,1,85,77,68,79,94,78,96
10005,1,0,90,98,100,94,93,97,86
10006,0,0,73,69,76,97,90,62,92
10007,0,0,95,80,82,91,90,96,89
10008,1,0,90,90,93,99,96,64,90
10009,1,0,80,92,73,68,78,76,98
10010,0,0,98,93,89,86,85,81,80
10011,1,0,94,90,87,84,81,80,75
10012,1,0,90,85,84,83,79,76,72
10013,1,0,65,96,93,99,82,73,69
10014,1,0,93,90,100,94,69,97,91
10015,1,1,93,87,81,83,82,99,69
10016,1,0,96,99,69,94,98,100,63
10017,0,0,68,68,86,82,72,72,66
10018,1,0,85,91,98,67,66,69,61
10019,1,0,97,96,95,93,92,87,86
10020,1,1,70,98,65,76,84,72,68
10021,1,0,99,98,95,93,91,89,86
10022,0,1,93,61,80,88,97,98,70
10023,1,0,74,77,81,83,85,88,90
10024,1,0,60,64,100,76,95,83,60
10025,1,0,75,70,68,84,76,72,88
10026,1,1,71,96,63,79,84,89,68
10027,1,1,66,68,69,70,71,72,74
10028,0,0,60,64,67,71,92,93,83
10029,1,0,71,65,60,100,85,97,97
10030,0,1,100,72,95,81,82,81,75
10031,1,0,91,92,90,93,64,100,92
10032,1,0,93,91,63,93,94,93,71
10033,1,0,87,83,92,82,96,82,85
10034,0,1,62,92,94,97,97,97,94
10035,1,0,86,76,75,96,100,61,100
10036,1,0,90,60,66,76,82,94,100
10037,0,1,80,66,65,70,77,73,88
10038,0,1,71,74,97,81,91,63,76
10039,0,0,96,95,93,89,84,82,81
10040,1,0,70,63,85,82,72,84,77
10041,1,0,97,66,61,63,79,79,63
10042,1,0,66,67,72,77,81,82,83
10043,1,0,60,97,63,68,68,92,63
10044,1,0,80,64,62,78,88,88,94
10045,1,1,75,78,80,83,85,86,87
10046,1,0,72,72,64,88,70,83,93
10047,1,0,63,95,64,96,100,62,62
10048,1,1,86,93,75,100,87,86,77
10049,1,0,98,94,90,87,83,79,75
10050,1,0,87,66,77,71,83,74,96
10051,0,1,100,62,80,99,81,92,73
10052,1,1,66,90,91,87,62,68,99
10053,1,0,82,71,96,71,96,86,61
10054,1,1,70,73,90,63,65,96,99
10055,0,1,100,81,92,93,85,61,77
10056,1,1,91,88,87,86,85,83,80
10057,0,0,77,64,84,73,66,90,91
10058,1,1,91,97,69,100,98,93,87
10059,0,0,78,63,94,76,72,71,78
10060,1,0,70,73,75,77,79,83,85
10061,1,1,62,71,71,86,96,64,64
10062,1,0,95,73,73,80,64,78,85
10063,1,0,90,86,82,80,76,74,71
10064,1,0,60,76,94,91,88,66,83
10065,1,0,97,62,63,65,96,80,72
10066,1,1,77,93,87,84,79,87,61
10067,1,0,73,77,80,82,83,85,88
10068,0,0,95,65,98,65,83,72,87
10069,1,0,95,91,87,83,80,78,76
10070,1,0,76,66,90,70,96,95,66
10071,0,1,100,99,95,93,90,89,87
10072,0,0,85,74,66,75,94,80,79
10073,1,0,79,77,88,73,61,64,73
10074,0,0,66,73,77,63,89,94,83
10075,1,0,94,66,88,61,74,77,99
10076,1,0,65,90,80,88,65,87,79
10077,0,0,91,64,96,76,97,93,85
10078,1,0,69,82,67,76,87,69,89
10079,1,0,73,74,79,83,86,91,94
10080,1,0,68,60,96,93,69,85,84
10081,1,0,75,60,98,66,89,96,94
10082,1,0,68,81,72,72,60,65,95
10083,1,0,68,70,72,76,78,83,86
10084,1,0,93,96,90,98,97,93,85
10085,1,0,90,65,94,98,99,98,60
10086,1,0,93,82,95,88,74,66,63
10087,0,1,92,70,91,95,94,97,62
10088,1,0,80,70,87,93,85,95,92
10089,1,0,72,76,82,63,95,95,84
10090,0,1,95,90,88,86,81,77,73
10091,0,1,91,88,83,79,77,73,68
10092,1,1,67,71,75,79,84,88,92
10093,0,0,75,73,60,98,79,65,92
10094,1,0,93,90,88,85,81,80,76
10095,1,0,75,92,70,61,83,95,70
10096,0,0,61,98,93,91,89,64,63
10097,1,0,66,68,73,77,78,80,81
10098,1,0,69,74,77,81,83,88,91
10099,1,0,76,78,78,98,68,68,93
10100,0,1,85,64,98,60,81,75,74
10101,1,0,74,77,68,99,100,91,75
10102,0,0,62,70,81,60,93,100,66
10103,1,0,61,63,68,69,74,76,81
10104,0,0,97,97,89,71,90,89,90
10105,1,0,69,71,76,80,81,85,90
10106,1,0,80,95,76,90,92,64,68
10107,0,0,98,95,93,90,85,82,79
10108,1,0,69,81,74,60,97,83,83
10109,1,1,69,74,79,80,85,88,93
10110,1,0,97,73,65,82,60,66,63
10111,1,1,73,74,80,84,73,93,63
10112,1,0,97,96,93,90,87,85,81
10113,0,0,84,71,70,90,85,89,63
10114,1,0,64,68,71,74,75,80,84
10115,1,0,77,89,95,82,79,92,93
10116,1,0,98,62,75,82,78,67,71
10117,1,0,91,88,86,85,98,68,75
10118,0,0,93,92,97,93,90,73,82
10119,0,0,91,93,99,96,94,94,76
10120,0,0,67,70,71,72,74,77,81
10121,1,0,62,92,80,61,66,91,75
10122,1,0,98,66,87,60,60,80,76
10123,1,1,66,74,75,71,96,71,64
10124,1,0,100,71,60,88,75,82,89
10125,0,0,89,77,89,97,71,76,80
10126,1,0,89,60,92,66,65,67,83
10127,0,0,86,60,90,74,79,76,78
10128,0,0,98,86,100,80,92,92,76
10129,0,1,85,61,74,93,99,100,64
10130,1,0,100,63,91,76,77,96,88
10131,1,0,94,81,78,79,85,63,71
10132,0,1,63,91,100,77,80,62,88
10133,1,0,90,88,84,81,78,75,72
10134,0,0,60,68,88,84,63,80,78
10135,0,0,95,90,100,96,97,63,60
10136,1,0,66,73,80,96,97,73,93
10137,1,0,68,100,81,78,70,83,63
10138,1,0,68,73,76,80,85,87,88
10139,1,0,73,86,60,98,93,76,68
10140,1,0,79,89,95,88,69,94,80
10141,0,0,78,99,94,68,98,78,63
10142,1,0,100,63,72,89,89,63,73
10143,0,0,73,87,96,69,90,97,70
10144,1,0,65,83,95,77,96,66,86
10145,1,0,98,94,93,97,100,97,66
10146,1,0,60,71,97,79,83,89,80
10147,1,0,67,89,64,65,61,92,68
10148,1,0,75,95,70,66,65,74,83
10149,1,0,88,91,85,65,73,81,72
10150,0,0,92,89,87,85,81,80,76
10151,0,0,75,96,97,88,61,90,79
10152,1,0,90,91,100,63,98,97,72
10153,0,0,85,95,99,92,70,91,86
10154,1,0,90,94,65,90,92,94,94
10155,1,0,100,96,94,92,90,87,85
10156,0,0,93,94,93,65,91,91,73
10157,1,0,94,91,98,98,93,96,85
10158,0,1,63,77,100,77,94,73,87
10159,0,0,93,90,85,83,80,77,75
10160,0,0,85,71,98,60,91,75,70
10161,1,0,70,75,78,82,85,90,91
10162,1,1,100,90,93,90,93,90,80
10163,0,0,70,83,82,77,73,76,72
10164,1,0,94,61,63,95,86,96,73
10165,0,0,78,98,99,76,72,67,66
10166,0,0,69,97,94,99,97,100,81
10167,0,0,83,66,61,78,76,94,69
10168,1,0,98,96,92,87,83,81,78
10169,0,0,98,96,94,93,92,87,83
10170,0,1,64,66,68,73,76,80,83
10171,1,1,83,86,67,78,68,83,73
10172,1,0,94,96,91,61,98,97,68
10173,1,0,93,88,85,80,77,76,72
10174,0,1,71,70,75,93,86,69,64
10175,1,1,96,100,72,99,99,98,83
10176,0,0,84,85,69,89,78,71,79
10177,0,0,91,87,82,77,74,71,66
10178,1,0,62,90,88,97,91,73,100
10179,1,0,78,96,91,84,73,68,62
10180,0,0,91,88,83,80,76,75,70
10181,1,0,65,67,69,71,75,79,83
10182,0,0,94,90,86,82,78,77,76
10183,1,1,67,99,85,89,90,75,81
10184,1,0,84,63,97,87,75,97,94
10185,0,0,97,68,93,84,85,69,63
10186,1,0,83,78,83,85,77,70,91
10187,1,0,60,93,98,94,94,96,71
10188,1,0,89,67,96,61,74,67,75
10189,1,1,90,70,72,61,62,65,64
10190,0,0,78,72,78,67,70,72,72
10191,0,1,63,93,70,77,70,98,89
10192,1,0,98,96,93,89,84,81,78
10193,0,0,99,94,92,88,85,84,83
10194,1,0,97,94,73,90,90,95,100
10195,0,0,91,98,66,92,99,99,98
10196,0,0,64,67,72,75,79,82,86
10197,1,0,96,90,94,83,90,91,71
10198,0,0,99,96,95,90,86,83,80
10199,1,1,79,74,67,100,75,87,72
10200,1,0,90,85,84,79,78,74,70
10201,1,0,75,91,84,60,87,63,76
10202,1,1,99,63,75,64,68,60,65
10203,0,0,99,93,93,90,100,99,93
10204,0,0,66,69,71,72,75,76,80
10205,0,0,93,88,87,82,81,78,75
10206,1,0,71,93,100,95,66,74,68
10207,1,0,63,91,71,82,88,81,70
10208,1,0,69,67,80,69,69,82,98
10209,1,0,89,87,81,64,70,60,79
10210,1,0,82,79,100,76,74,85,78
10211,1,0,92,90,89,88,85,82,78
10212,1,0,97,99,84,86,68,85,60
10213,1,1,64,63,71,87,74,68,73
10214,0,1,81,81,91,94,97,72,91
10215,1,0,63,86,60,87,88,60,88
10216,1,0,81,70,68,60,86,100,92
10217,1,0,86,62,100,73,79,89,73
10218,1,0,77,72,97,98,92,93,96
10219,1,1,78,88,71,75,85,66,61
10220,0,1,97,91,84,77,68,79,87
10221,0,0,63,92,98,94,62,71,97
10222,0,0,84,76,89,65,100,68,83
10223,1,0,91,82,85,87,81,68,94
10224,1,0,94,91,94,92,97,60,75
10225,1,1,70,90,66,62,99,60,66
10226,1,0,98,99,74,77,75,81,82
10227,1,0,95,93,90,88,87,83,81
10228,0,0,86,100,78,72,66,93,75
10229,1,0,77,96,94,81,79,71,99
10230,1,0,91,90,86,84,82,77,74
